aqualink_site_id,Date,Time,Temp,Salinity,DO,DO_sat,pH,T1,T2,T3,T4,TotalN,TotalP,Entero
9083,6/30/2020,10:27:00,28.0,28.3,9.2,116.8,6.73,0.91,0.82,0.91,,755.6,29.0,2.3
9083,7/28/2020,10:15:00,27.7,7.36,8.4,106.5,6.89,2.09,1.67,1.71,1.94,1850.4,70.5,42.0
9084,6/30/2020,11:05:00,28.1,14.02,7.83,100.9,7.48,2.05,2.15,,2.06,1434.0,60.5,42.0
9084,7/28/2020,11:20:00,28.2,34.6,9.26,118.6,6.88,1.89,2.19,1.97,1.91,266.1,11.6,2.3
